2025-11-03 01:25:04.915 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.batchUpdateSort
2025-11-03 01:25:04.916 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.countByLevel
2025-11-03 01:25:04.917 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.checkNameExists
2025-11-03 01:25:04.917 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.selectChildrenCount
2025-11-03 01:25:04.927 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.countByNameAndParentIdExcludeSelf
2025-11-03 01:25:04.927 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.countByNameAndNullParentExcludeSelf
2025-11-03 01:25:04.933 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.updateById
2025-11-03 01:25:04.934 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.selectChildrenByParentId
2025-11-03 01:25:04.934 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.logicalDeleteById
2025-11-03 01:25:04.934 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.countByNameAndParentId
2025-11-03 01:25:04.935 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.countByNameAndNullParent
2025-11-03 01:25:04.961 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.insert
2025-11-03 01:25:04.968 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.delete
2025-11-03 01:25:04.969 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.deleteByMap
2025-11-03 01:25:04.971 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.deleteById
2025-11-03 01:25:04.972 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.deleteBatchIds
2025-11-03 01:25:04.978 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.update
2025-11-03 01:25:04.980  WARN 50559 --- [main] c.b.m.core.injector.AbstractMethod       : [com.cn.taihe.back.category.mapper.CategoryMapper.updateById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.UpdateById]
2025-11-03 01:25:04.982 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.selectById
2025-11-03 01:25:04.984 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.selectBatchIds
2025-11-03 01:25:04.986 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.selectByMap
2025-11-03 01:25:04.989 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.selectOne
2025-11-03 01:25:04.992 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.selectCount
2025-11-03 01:25:04.997 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.selectMaps
2025-11-03 01:25:04.999 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.selectMapsPage
2025-11-03 01:25:05.003 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.selectObjs
